country_code,Gold Medal,Silver Medal,Bronze Medal,Total
USA,38,42,42,122
CHN,38,27,24,89
AUS,18,18,14,50
JPN,18,12,13,43
FRA,16,24,22,62
GBR,14,21,27,62
KOR,13,8,9,30
NED,13,7,12,32
ITA,11,13,13,37
GER,11,11,8,30
CAN,9,7,11,27
NZL,9,7,2,18
UZB,8,2,3,13
HUN,5,7,6,18
ESP,5,4,8,17
SWE,4,4,3,11
KEN,4,2,4,10
NOR,4,1,3,8
IRL,4,0,3,7
BRA,3,7,10,20
UKR,3,5,4,12
IRI,3,5,2,10
ROU,3,4,1,8
GEO,3,2,1,6
BUL,3,0,3,6
CZE,3,0,2,5
AZE,2,2,2,6
BEL,2,1,5,8
CUB,2,1,5,8
CRO,2,1,3,6
SRB,2,1,1,4
SLO,2,1,0,3
TPE,2,0,5,7
AUT,2,0,3,5
HKG,2,0,2,4
PHI,2,0,2,4
ALG,2,0,1,3
INA,2,0,0,2
ISR,1,4,1,6
POL,1,3,5,9
KAZ,1,3,3,7
JAM,1,3,2,6
RSA,1,3,2,6
THA,1,3,2,6
AIN,1,3,1,5
DEN,1,2,5,8
SUI,1,2,5,8
ECU,1,2,2,5
POR,1,2,1,4
ETH,1,2,0,3
GRE,1,1,6,8
ARG,1,1,1,3
BRN,1,1,1,3
EGY,1,1,1,3
TUN,1,1,1,3
BOT,1,1,0,2
CHI,1,1,0,2
LCA,1,1,0,2
UGA,1,1,0,2
DOM,1,0,2,3
GUA,1,0,1,2
MAR,1,0,1,2
DMA,1,0,0,1
PAK,1,0,0,1
TUR,0,3,5,8
MEX,0,3,2,5
ARM,0,3,1,4
COL,0,3,0,3
KGZ,0,2,4,6
PRK,0,2,4,6
LTU,0,2,2,4
IND,0,1,5,6
MDA,0,1,3,4
KOS,0,1,1,2
CYP,0,1,0,1
FIJ,0,1,0,1
JOR,0,1,0,1
MGL,0,1,0,1
PAN,0,1,0,1
TJK,0,0,3,3
GRN,0,0,2,2
MAS,0,0,2,2
ALB,0,0,1,1
CIV,0,0,1,1
CPV,0,0,1,1
EOR,0,0,1,1
PER,0,0,1,1
PUR,0,0,1,1
QAT,0,0,1,1
SGP,0,0,1,1
SVK,0,0,1,1
ZAM,0,0,1,1
